Trial,Bandit,Reward,Cumulative_Reward,Cumulative_Regret,Algorithm
1,2,2.7259,2.7259,1.2741,EpsilonGreedy
2,3,3.5453,6.2712,1.7288,EpsilonGreedy
3,3,4.0601,10.3313,1.6687,EpsilonGreedy
4,3,3.5078,13.8391,2.1609,EpsilonGreedy
5,3,4.4898,18.3290,1.6710,EpsilonGreedy
6,3,4.1054,22.4344,1.5656,EpsilonGreedy
7,3,3.9707,26.4051,1.5949,EpsilonGreedy
8,3,2.6558,29.0609,2.9391,EpsilonGreedy
9,3,2.0988,31.1597,4.8403,EpsilonGreedy
10,3,2.1583,33.3180,6.6820,EpsilonGreedy
11,3,2.7326,36.0505,7.9495,EpsilonGreedy
12,1,1.8131,37.8636,10.1364,EpsilonGreedy
13,3,3.4613,41.3249,10.6751,EpsilonGreedy
14,3,4.1133,45.4382,10.5618,EpsilonGreedy
15,3,3.5222,48.9604,11.0396,EpsilonGreedy
16,3,3.1912,52.1516,11.8484,EpsilonGreedy
17,3,3.1925,55.3441,12.6559,EpsilonGreedy
18,0,1.8844,57.2285,14.7715,EpsilonGreedy
19,3,3.8883,61.1168,14.8832,EpsilonGreedy
20,3,4.0638,65.1805,14.8195,EpsilonGreedy
21,3,4.0761,69.2567,14.7433,EpsilonGreedy
22,3,2.4529,71.7095,16.2905,EpsilonGreedy
23,3,4.1194,75.8289,16.1711,EpsilonGreedy
24,3,6.0004,81.8293,14.1707,EpsilonGreedy
25,3,2.8007,84.6300,15.3700,EpsilonGreedy
26,3,4.5767,89.2067,14.7933,EpsilonGreedy
27,3,4.6829,93.8896,14.1104,EpsilonGreedy
28,3,4.6672,98.5569,13.4431,EpsilonGreedy
29,3,3.3243,101.8812,14.1188,EpsilonGreedy
30,3,3.5367,105.4179,14.5821,EpsilonGreedy
31,3,2.8128,108.2307,15.7693,EpsilonGreedy
32,3,3.8038,112.0345,15.9655,EpsilonGreedy
33,3,5.1452,117.1797,14.8203,EpsilonGreedy
34,3,3.2054,120.3851,15.6149,EpsilonGreedy
35,3,2.0076,122.3927,17.6073,EpsilonGreedy
36,3,3.9027,126.2954,17.7046,EpsilonGreedy
37,3,4.6894,130.9848,17.0152,EpsilonGreedy
38,3,3.6314,134.6162,17.3838,EpsilonGreedy
39,3,5.5235,140.1397,15.8603,EpsilonGreedy
40,3,3.6963,143.8361,16.1639,EpsilonGreedy
41,3,3.8792,147.7153,16.2847,EpsilonGreedy
42,3,2.8859,150.6012,17.3988,EpsilonGreedy
43,3,3.5564,154.1576,17.8424,EpsilonGreedy
44,3,4.6531,158.8107,17.1893,EpsilonGreedy
45,3,4.6684,163.4791,16.5209,EpsilonGreedy
46,3,5.0521,168.5312,15.4688,EpsilonGreedy
47,3,4.5834,173.1146,14.8854,EpsilonGreedy
48,3,4.3467,177.4613,14.5387,EpsilonGreedy
49,3,1.9647,179.4260,16.5740,EpsilonGreedy
50,3,3.1001,182.5260,17.4740,EpsilonGreedy
51,3,6.2448,188.7708,15.2292,EpsilonGreedy
52,3,3.3761,192.1469,15.8531,EpsilonGreedy
53,3,4.4930,196.6399,15.3601,EpsilonGreedy
54,3,3.7941,200.4339,15.5661,EpsilonGreedy
55,3,4.5199,204.9538,15.0462,EpsilonGreedy
56,3,3.9208,208.8747,15.1253,EpsilonGreedy
57,3,2.9455,211.8202,16.1798,EpsilonGreedy
58,3,3.1420,214.9622,17.0378,EpsilonGreedy
59,3,4.1927,219.1550,16.8450,EpsilonGreedy
60,3,3.4090,222.5639,17.4361,EpsilonGreedy
61,3,2.0023,224.5662,19.4338,EpsilonGreedy
62,3,4.3628,228.9290,19.0710,EpsilonGreedy
63,3,4.8466,233.7756,18.2244,EpsilonGreedy
64,3,4.7567,238.5324,17.4676,EpsilonGreedy
65,3,4.7790,243.3114,16.6886,EpsilonGreedy
66,3,2.4632,245.7745,18.2255,EpsilonGreedy
67,3,5.4417,251.2162,16.7838,EpsilonGreedy
68,3,3.7261,254.9423,17.0577,EpsilonGreedy
69,3,3.0248,257.9672,18.0328,EpsilonGreedy
70,3,3.4571,261.4243,18.5757,EpsilonGreedy
71,3,3.2067,264.6310,19.3690,EpsilonGreedy
72,3,2.7223,267.3533,20.6467,EpsilonGreedy
73,3,3.8459,271.1992,20.8008,EpsilonGreedy
74,3,4.0133,275.2125,20.7875,EpsilonGreedy
75,3,3.6733,278.8858,21.1142,EpsilonGreedy
76,3,4.0080,282.8938,21.1062,EpsilonGreedy
77,3,3.7001,286.5939,21.4061,EpsilonGreedy
78,3,3.1932,289.7870,22.2130,EpsilonGreedy
79,3,3.3288,293.1158,22.8842,EpsilonGreedy
