Trial,Bandit,Reward,Cumulative_Reward,Cumulative_Regret,Algorithm
1,1,1.7020,1.7020,2.2980,ThompsonSampling
2,3,2.1527,3.8547,4.1453,ThompsonSampling
3,0,0.6209,4.4756,7.5244,ThompsonSampling
4,1,2.6857,7.1613,8.8387,ThompsonSampling
5,2,1.0797,8.2410,11.7590,ThompsonSampling
6,1,2.0366,10.2776,13.7224,ThompsonSampling
7,3,4.7172,14.9948,13.0052,ThompsonSampling
8,3,3.1865,18.1813,13.8187,ThompsonSampling
9,3,3.3384,21.5197,14.4803,ThompsonSampling
10,3,3.2612,24.7809,15.2191,ThompsonSampling
11,3,4.9557,29.7366,14.2634,ThompsonSampling
12,3,4.3470,34.0836,13.9164,ThompsonSampling
13,3,4.3429,38.4265,13.5735,ThompsonSampling
14,3,3.4782,41.9046,14.0954,ThompsonSampling
15,3,5.2598,47.1644,12.8356,ThompsonSampling
16,3,3.9061,51.0705,12.9295,ThompsonSampling
17,3,5.3019,56.3724,11.6276,ThompsonSampling
18,3,5.5144,61.8868,10.1132,ThompsonSampling
19,3,5.5794,67.4661,8.5339,ThompsonSampling
20,3,3.7963,71.2624,8.7376,ThompsonSampling
21,3,3.7783,75.0407,8.9593,ThompsonSampling
22,3,2.5603,77.6010,10.3990,ThompsonSampling
23,3,3.5386,81.1396,10.8604,ThompsonSampling
24,3,3.3529,84.4925,11.5075,ThompsonSampling
25,3,4.1920,88.6845,11.3155,ThompsonSampling
26,3,4.3278,93.0123,10.9877,ThompsonSampling
27,3,4.5799,97.5922,10.4078,ThompsonSampling
28,3,3.8883,101.4805,10.5195,ThompsonSampling
29,3,3.4526,104.9331,11.0669,ThompsonSampling
30,3,3.9277,108.8608,11.1392,ThompsonSampling
31,3,3.2762,112.1370,11.8630,ThompsonSampling
32,3,3.1819,115.3190,12.6810,ThompsonSampling
33,3,4.2021,119.5210,12.4790,ThompsonSampling
34,3,4.1261,123.6471,12.3529,ThompsonSampling
35,3,4.3162,127.9633,12.0367,ThompsonSampling
36,3,4.3880,132.3513,11.6487,ThompsonSampling
37,3,3.2373,135.5886,12.4114,ThompsonSampling
38,3,3.4258,139.0144,12.9856,ThompsonSampling
39,3,2.8325,141.8469,14.1531,ThompsonSampling
40,3,4.4788,146.3256,13.6744,ThompsonSampling
41,3,4.4676,150.7932,13.2068,ThompsonSampling
42,3,3.8733,154.6665,13.3335,ThompsonSampling
43,3,2.9093,157.5758,14.4242,ThompsonSampling
44,3,4.6981,162.2739,13.7261,ThompsonSampling
45,3,4.1916,166.4655,13.5345,ThompsonSampling
46,3,3.0567,169.5222,14.4778,ThompsonSampling
47,3,3.7360,173.2583,14.7417,ThompsonSampling
48,3,4.3022,177.5605,14.4395,ThompsonSampling
49,3,3.7889,181.3494,14.6506,ThompsonSampling
50,3,4.6989,186.0483,13.9517,ThompsonSampling
51,3,4.7398,190.7881,13.2119,ThompsonSampling
52,3,5.2624,196.0505,11.9495,ThompsonSampling
53,3,4.5034,200.5539,11.4461,ThompsonSampling
54,3,2.8332,203.3871,12.6129,ThompsonSampling
55,3,4.2636,207.6507,12.3493,ThompsonSampling
56,3,3.7890,211.4397,12.5603,ThompsonSampling
57,3,2.9428,214.3825,13.6175,ThompsonSampling
58,3,4.3415,218.7240,13.2760,ThompsonSampling
59,3,2.4223,221.1463,14.8537,ThompsonSampling
60,3,3.6290,224.7753,15.2247,ThompsonSampling
61,3,2.7213,227.4966,16.5034,ThompsonSampling
62,3,2.8490,230.3456,17.6544,ThompsonSampling
63,3,4.1745,234.5201,17.4799,ThompsonSampling
64,3,3.9554,238.4756,17.5244,ThompsonSampling
65,3,6.6386,245.1142,14.8858,ThompsonSampling
66,3,4.6223,249.7364,14.2636,ThompsonSampling
67,3,4.1866,253.9230,14.0770,ThompsonSampling
68,3,3.6489,257.5719,14.4281,ThompsonSampling
69,3,3.4340,261.0059,14.9941,ThompsonSampling
70,3,3.7857,264.7916,15.2084,ThompsonSampling
71,3,3.7670,268.5586,15.4414,ThompsonSampling
72,3,2.8384,271.3970,16.6030,ThompsonSampling
73,3,3.8741,275.2711,16.7289,ThompsonSampling
74,3,4.3500,279.6211,16.3789,ThompsonSampling
75,3,4.7592,284.3803,15.6197,ThompsonSampling
76,3,3.8984,288.2787,15.7213,ThompsonSampling
77,3,4.1201,292.3988,15.6012,ThompsonSampling
78,3,3.9051,296.3039,15.6961,ThompsonSampling
79,3,4.4314,300.7353,15.2647,ThompsonSampling
80,3,4.4334,305.1687,14.8313,ThompsonSampling
81,3,3.1883,308.3570,15.6430,ThompsonSampling
82,3,3.4706,311.8276,16.1724,ThompsonSampling
83,3,3.8903,315.7179,16.2821,ThompsonSampling
84,3,2.5172,318.2350,17.7650,ThompsonSampling
85,3,2.7361,320.9711,19.0289,ThompsonSampling
86,3,6.1631,327.1342,16.8658,ThompsonSampling
87,3,3.8211,330.9553,17.0447,ThompsonSampling
88,3,3.7229,334.6782,17.3218,ThompsonSampling
89,3,3.5638,338.2420,17.7580,ThompsonSampling
90,3,3.2597,341.5017,18.4983,ThompsonSampling
91,3,5.6897,347.1914,16.8086,ThompsonSampling
